ProductID,ProductName,Category,Brand,UnitPrice
P001,Tablet,Electronics,Apple,68380
P002,Smartwatch,Electronics,Lenovo,21076
P003,Camera,Electronics,Dell,67987
P004,Printer,Electronics,Apple,72364
P005,Monitor,Computing,Canon,79677
P006,Printer,Electronics,Apple,62709
P007,Headphones,Accessories,Asus,12377
P008,Monitor,Computing,Lenovo,18673
P009,Laptop,Accessories,Acer,18018
P010,Monitor,Accessories,Samsung,79301
P011,Smartwatch,Accessories,Lenovo,10156
P012,Monitor,Computing,LG,55836
P013,Smartwatch,Computing,Sony,72377
P014,Mobile,Accessories,Dell,2792
P015,Printer,Electronics,Sony,20585
P016,Camera,Computing,Acer,28236
P017,Tablet,Electronics,Canon,30546
P018,Headphones,Computing,Dell,72379
P019,Smartwatch,Computing,Samsung,67481
P020,Mobile,Electronics,Sony,11248
P021,Printer,Computing,Lenovo,61186
P022,Monitor,Computing,Asus,76867
P023,Keyboard,Electronics,Acer,7801
P024,Smartwatch,Electronics,Apple,38079
P025,Tablet,Accessories,Dell,5013
P026,Keyboard,Computing,Apple,68286
P027,Laptop,Computing,Samsung,22294
P028,Smartwatch,Computing,Apple,79057
P029,Camera,Accessories,Asus,60171
P030,Monitor,Electronics,Samsung,66899
P031,Headphones,Computing,Acer,30937
P032,Smartwatch,Computing,Asus,56944
P033,Tablet,Accessories,Canon,9505
P034,Camera,Computing,LG,9851
P035,Mobile,Accessories,Asus,58852
P036,Tablet,Accessories,Acer,57857
P037,Mouse,Accessories,Dell,16666
P038,Laptop,Accessories,Sony,50704
P039,Printer,Electronics,Dell,32847
P040,Camera,Electronics,Apple,4925
P041,Keyboard,Accessories,Samsung,36964
P042,Keyboard,Electronics,Sony,59652
P043,Monitor,Electronics,Dell,26815
P044,Printer,Electronics,LG,14034
P045,Keyboard,Electronics,Sony,2264
P046,Monitor,Computing,Canon,7481
P047,Camera,Electronics,HP,9088
P048,Mobile,Accessories,Sony,25067
P049,Mouse,Computing,Acer,33213
P050,Camera,Accessories,Apple,26296
P051,Smartwatch,Accessories,Canon,26872
P052,Camera,Computing,Lenovo,50246
P053,Mobile,Electronics,Canon,37920
P054,Printer,Accessories,LG,7135
P055,Monitor,Electronics,HP,44039
P056,Monitor,Electronics,HP,42395
P057,Camera,Accessories,Acer,1300
P058,Laptop,Electronics,Sony,72409
P059,Headphones,Accessories,LG,69273
P060,Mobile,Computing,Samsung,53817
P061,Tablet,Accessories,Sony,20894
P062,Headphones,Accessories,Dell,1106
P063,Keyboard,Computing,Asus,50781
P064,Smartwatch,Computing,LG,33491
P065,Monitor,Computing,Apple,78320
P066,Mouse,Computing,LG,1475
P067,Keyboard,Electronics,Canon,59291
P068,Mouse,Electronics,LG,4338
P069,Camera,Accessories,LG,19702
P070,Headphones,Computing,Acer,58362
P071,Headphones,Computing,Samsung,29187
P072,Smartwatch,Computing,HP,38141
P073,Laptop,Electronics,HP,79155
P074,Headphones,Electronics,Asus,6985
P075,Headphones,Electronics,Sony,33858
P076,Mouse,Computing,Lenovo,39632
P077,Printer,Accessories,Dell,71991
P078,Smartwatch,Computing,Asus,44690
P079,Smartwatch,Accessories,Asus,71680
P080,Mouse,Accessories,Sony,57302
P081,Keyboard,Accessories,Acer,29423
P082,Keyboard,Accessories,LG,6385
P083,Headphones,Computing,Asus,64528
P084,Camera,Accessories,HP,12927
P085,Smartwatch,Electronics,LG,38690
P086,Camera,Electronics,Samsung,60079
P087,Tablet,Accessories,LG,19870
P088,Mobile,Computing,Samsung,53252
P089,Smartwatch,Accessories,Apple,64045
P090,Laptop,Computing,Lenovo,47924
P091,Printer,Accessories,Samsung,76790
P092,Monitor,Computing,Asus,14184
P093,Mouse,Computing,Apple,5860
P094,Headphones,Electronics,Lenovo,51725
P095,Laptop,Electronics,Asus,13481
P096,Printer,Electronics,Apple,52240
P097,Camera,Computing,Lenovo,19210
P098,Monitor,Computing,Dell,26059
P099,Printer,Accessories,Dell,30025
P100,Tablet,Electronics,Dell,57077
P101,Tablet,Accessories,Samsung,17565
P102,Smartwatch,Electronics,Lenovo,11478
P103,Camera,Electronics,Samsung,50781
P104,Printer,Accessories,Canon,59218
P105,Mouse,Accessories,HP,16710
P106,Tablet,Electronics,Canon,17782
P107,Laptop,Electronics,Asus,29511
P108,Laptop,Accessories,Lenovo,48759
P109,Monitor,Accessories,Dell,24975
P110,Tablet,Computing,Apple,39118
P111,Printer,Accessories,HP,31837
P112,Mobile,Accessories,Apple,56746
P113,Mouse,Accessories,Dell,5507
P114,Camera,Accessories,Apple,33786
P115,Laptop,Computing,Dell,76027
P116,Headphones,Electronics,LG,44775
P117,Tablet,Accessories,Samsung,57050
P118,Monitor,Computing,Acer,30272
P119,Camera,Accessories,Samsung,51327
P120,Headphones,Computing,Asus,46930
P121,Camera,Electronics,Samsung,64923
P122,Tablet,Accessories,Samsung,18523
P123,Headphones,Computing,Lenovo,39613
P124,Mouse,Accessories,LG,55865
P125,Printer,Electronics,Asus,42522
P126,Printer,Computing,LG,51537
P127,Mouse,Accessories,Asus,60672
P128,Tablet,Computing,Canon,35120
P129,Tablet,Computing,Lenovo,52429
P130,Mouse,Electronics,Dell,78165
P131,Headphones,Accessories,Apple,11489
P132,Camera,Computing,Canon,5148
P133,Printer,Accessories,Lenovo,55829
P134,Monitor,Electronics,Samsung,12173
P135,Camera,Electronics,Canon,1802
P136,Headphones,Accessories,Sony,910
P137,Tablet,Electronics,Lenovo,56531
P138,Camera,Electronics,HP,76987
P139,Smartwatch,Computing,Asus,73425
P140,Headphones,Accessories,Canon,61095
P141,Smartwatch,Computing,Dell,45567
P142,Printer,Accessories,Acer,67634
P143,Headphones,Electronics,Dell,74368
P144,Camera,Computing,HP,2889
P145,Mobile,Electronics,Asus,46650
P146,Mouse,Electronics,Dell,21768
P147,Mobile,Accessories,Canon,74197
P148,Keyboard,Computing,Apple,48091
P149,Keyboard,Computing,HP,18981
P150,Smartwatch,Computing,Samsung,8432
P151,Keyboard,Electronics,LG,38437
P152,Laptop,Accessories,Asus,29737
P153,Mouse,Computing,Samsung,31100
P154,Monitor,Electronics,Apple,24025
P155,Headphones,Computing,Sony,26071
P156,Printer,Accessories,Canon,20305
P157,Mobile,Electronics,Dell,13550
P158,Mouse,Electronics,Dell,14223
P159,Tablet,Accessories,Canon,52007
P160,Printer,Electronics,Samsung,10143
P161,Mobile,Computing,Canon,67436
P162,Mouse,Electronics,Dell,50234
P163,Keyboard,Electronics,HP,29081
P164,Tablet,Electronics,Samsung,49862
P165,Monitor,Accessories,Canon,69967
P166,Mobile,Accessories,Apple,72777
P167,Laptop,Electronics,HP,40570
P168,Monitor,Electronics,Sony,2563
P169,Tablet,Accessories,Dell,25558
P170,Monitor,Accessories,Dell,2160
P171,Monitor,Computing,HP,53690
P172,Mobile,Accessories,LG,58953
P173,Laptop,Electronics,Asus,75161
P174,Printer,Accessories,Sony,47033
P175,Printer,Electronics,HP,8146
P176,Headphones,Electronics,Lenovo,56551
P177,Laptop,Accessories,Apple,61102
P178,Smartwatch,Accessories,Samsung,52408
P179,Keyboard,Electronics,Dell,75669
P180,Printer,Accessories,LG,49402
P181,Smartwatch,Electronics,Acer,39711
P182,Camera,Electronics,HP,42969
P183,Laptop,Accessories,Asus,12913
P184,Headphones,Electronics,Apple,56580
P185,Tablet,Electronics,Apple,25316
P186,Monitor,Computing,Apple,58542
P187,Printer,Computing,Acer,5317
P188,Laptop,Computing,Apple,12828
P189,Laptop,Electronics,Sony,65918
P190,Mouse,Electronics,Canon,65815
P191,Headphones,Accessories,Sony,43501
P192,Camera,Accessories,Dell,22939
P193,Keyboard,Accessories,Sony,27033
P194,Mobile,Computing,Lenovo,7807
P195,Printer,Accessories,HP,30574
P196,Smartwatch,Computing,Apple,17426
P197,Keyboard,Computing,Canon,41865
P198,Mouse,Electronics,HP,8895
P199,Mobile,Accessories,HP,18712
P200,Monitor,Computing,Samsung,14521
P201,Headphones,Electronics,Apple,32642
P202,Headphones,Electronics,Samsung,64202
P203,Laptop,Electronics,Lenovo,9692
P204,Printer,Accessories,Asus,9007
P205,Keyboard,Computing,LG,50777
P206,Camera,Electronics,Samsung,77144
P207,Tablet,Computing,Asus,5063
P208,Monitor,Computing,LG,50068
P209,Smartwatch,Accessories,Apple,4960
P210,Smartwatch,Accessories,Lenovo,12040
P211,Monitor,Accessories,HP,50778
P212,Keyboard,Computing,Dell,46542
P213,Keyboard,Electronics,Apple,25863
P214,Monitor,Accessories,Lenovo,47073
P215,Tablet,Computing,Samsung,4295
P216,Laptop,Accessories,HP,56388
P217,Printer,Accessories,Apple,36361
P218,Mobile,Computing,Sony,13373
P219,Monitor,Accessories,Dell,13462
